FIELD	SAMP1_RG1	SAMP1_RG2	SAMP1_RG3	SAMP2_RG1	SAMP2_RG2	SAMP2_RG3	SAMP3_RG1	SAMP3_RG2	SAMP3_RG3	SAMP4_RG1	SAMP4_RG2	SAMP4_RG3	SAMP5_RG1	SAMP5_RG2	SAMP5_RG3	SAMP6_RG1	SAMP6_RG2	SAMP6_RG3
overlapMismatchRate.byMinQual.noIndel_30	0.19670231366649	0.194410330099791	0.247138922765048	0.172713657664621	0.181206871097861	0.275246192427671	0.171459621373321	0.170655783222008	0.207103580654938	0.184558736838287	0.176580360785783	0.218542669210399	0.179983714799378	0.187558921625326	0.248363462186663	0.191262950864868	0.192700421637162	0.24464551247501
overlapMismatchRate.byMinQual.noIndel_31	0.163691364658587	0.178414447028751	0.232623186439176	0.150485406231643	0.159415929807367	0.247111134428982	0.163024119588464	0.153534647263616	0.20958712818675	0.159042434472595	0.162156610594135	0.239390215842835	0.188143030923537	0.172141285088972	0.258538909087948	0.174430255953956	0.169366715758468	0.249200874831763
overlapMismatchRate.byMinQual.noIndel_32	0.148739455923845	0.142571490691864	0.188729337889002	0.124163584223432	0.125894807137333	0.188853277425465	0.144428102763987	0.141902041921452	0.156756685790807	0.13722110097445	0.134157573586788	0.167881848031099	0.154388996062935	0.171911643145811	0.189378204677578	0.155758757383253	0.157251172371477	0.195141344487467
overlapMismatchRate.byMinQual.noIndel_33	0.150472436122293	0.158037501209123	0.196277203804758	0.147048098916034	0.147866940727379	0.203432409923133	0.134846296888721	0.13118568187598	0.163459196914958	0.156436447693125	0.158669291899877	0.180232034676579	0.153849422114289	0.163459469005061	0.214184808589952	0.161532139767809	0.161274292188732	0.200191893784197
overlapMismatchRate.byMinQual.noIndel_34	0.0966904441484849	0.10335214989602	0.112836830194408	0.0857096145049072	0.092537879814599	0.125820157580441	0.0982522655816534	0.0928865507539378	0.11448750888945	0.0993835003658081	0.101296999842234	0.108852144017182	0.101435592143727	0.113941766992316	0.123304201985139	0.115457334586588	0.1117982473354	0.115157202615341
overlapMismatchRate.byMinQual.noIndel_35	0.0937104895711787	0.0982965770967201	0.0894765386093628	0.0845237803429806	0.0924060676700639	0.0906209042914165	0.0919143785398011	0.0920906783829988	0.0901409780174379	0.102638484802694	0.0981115316647227	0.0904773598270239	0.0957853243875454	0.10894996152931	0.0994907375007549	0.104129179869334	0.103518582022876	0.102473902964429
overlapMismatchRate.byMinQual.noIndel_36	0.092887379370493	0.10488312646586	0.101316437797858	0.0747265182638704	0.0799809686310539	0.0872386675843532	0.0909602901940852	0.0865832832004541	0.0861584438406963	0.0882013447861098	0.0935842389168186	0.0969296021391361	0.094545510201384	0.0977725607947856	0.096942874181259	0.116867970932755	0.0956750667866915	0.0991712523614087
overlapMismatchRate.byMinQual.noIndel_37	0.0910473457355588	0.0957213662332863	0.101266723839288	0.0659347904922032	0.0729151626410346	0.0756571844031239	0.0718659421731094	0.069813905596865	0.0720627195081669	0.0832115336626771	0.0852487330577389	0.0865423172903516	0.0857745423919534	0.0762068510815379	0.0888157221290242	0.101300780704463	0.0879696812835941	0.0880067817875607
overlapMismatchRate.byMinQual.noIndel_38	0.077167109663037	0.0925758385477376	0.100867801194635	0.0655887526122247	0.0657455801658423	0.0861744918389943	0.0753004915843413	0.0611957369539013	0.064095672094812	0.0843845074228727	0.0827629133229481	0.0811757668973767	0.0762570498053857	0.0826964665204135	0.0976825717852207	0.102925234190277	0.0921940633238549	0.0911909957505455
overlapMismatchRate.byMinQual.noIndel_39	0.0850293787404751	0.103334092207273	0.107261167320358	0.0640032127102851	0.060229045676406	0.0780366027514107	0.0801223386648545	0.061604235907261	0.0752924379737373	0.0823017543859649	0.0868033393755266	0.0857202266038435	0.0735985437854323	0.0829416074618633	0.0866946941858782	0.10350871543384	0.0940993625083383	0.0907076136953064
overlapMismatchRate.byMinQual.noIndel_40	0.072169598556608	0.0806050334997457	0.0942445446601137	0.0554307799685329	0.0503759788588251	0.0591163614239132	0.0632641680170037	0.0492193090336263	0.0609022996528231	0.0665418201197455	0.069163255925934	0.0735070305306778	0.0634596567173753	0.0603884226382612	0.0758280585328077	0.0794885646867635	0.0751690576824376	0.0673431476441334
overlapMismatchRate.byMinQual.noIndel_41	0.0665610503880828	0.0786073173758947	0.0826507810283009	0.0570567829103524	0.0380128867863446	0.0396773945112613	0.0549926623162781	0.0474561111406036	0.058408931680343	0.0542532932298855	0.0565615986628258	0.0676682016769053	0.0519664901051387	0.0582588211454191	0.0636995087717236	0.0689513004783941	0.0701787134141854	0.0610121396337914
