"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"CASE"	"CTRL"	"log2fold_CTRL_CASE"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SAMP1"	"countData.SAMP2"	"countData.SAMP3"	"countData.SAMP4"	"countData.SAMP5"	"countData.SAMP6"
"ENSRNOG00000002159:E011"	"ENSRNOG00000002159"	"E011"	1.64867924314424	0.0363557850058647	0.94253411003573	0.331626984401174	NA	2.74597351531456	1.98139744495481	-0.94235971159179	"chr14"	10383789	10383855	67	"-"	4	0	2	1	1	2
"ENSRNOG00000002159:E012"	"ENSRNOG00000002159"	"E012"	2.00528589077873	0.025379765328526	0.0263598344295772	0.871024636005239	NA	2.50677440346941	2.62106347934154	0.128763624176686	"chr14"	10394558	10395047	490	"-"	4	0	1	1	2	4
"ENSRNOG00000002165:E001"	"ENSRNOG00000002165"	"E001"	5.33883966051803	0.0132622945842604	1.10960782556806	0.29216721443115	NA	4.32274695693962	3.45933443647365	-0.644321851595172	"chr14"	10424674	10424809	136	"+"	13	5	8	1	3	3
"ENSRNOG00000002165:E002"	"ENSRNOG00000002165"	"E002"	10.6759607591889	0.00785794576958005	0.177787708252325	0.673281382990408	0.983440849722955	5.62094471334569	5.98255681926783	0.18078172133692	"chr14"	10426822	10426912	91	"+"	18	9	17	9	6	6
"ENSRNOG00000002165:E003"	"ENSRNOG00000002165"	"E003"	11.2110677722277	0.0178211608695026	0.103307966057884	0.747895488477945	0.989869615376402	5.93207717237513	5.69790424631883	-0.116784824127963	"chr14"	10427402	10427438	37	"+"	19	10	20	8	4	7
"ENSRNOG00000002165:E004"	"ENSRNOG00000002165"	"E004"	13.9971439456138	0.00643560164507095	0.0267448450341021	0.870094452793839	0.992709524988712	6.50155116609095	6.6569052945475	0.0685652240656323	"chr14"	10431023	10431089	67	"+"	26	15	18	7	6	13
"ENSRNOG00000002165:E005"	"ENSRNOG00000002165"	"E005"	20.9110343530857	0.00399190169106658	0.671065212706537	0.41268047178608	0.930648411773173	7.79307959399283	8.44312452344607	0.233384787032562	"chr14"	10433533	10433726	194	"+"	37	24	24	13	10	19
"ENSRNOG00000002165:E006"	"ENSRNOG00000002165"	"E006"	14.1614023950171	0.00403510485789169	0.906262092571041	0.341108144659002	0.90788720288937	6.82216398208496	6.1224720227776	-0.314134963627643	"chr14"	10435682	10435801	120	"+"	27	22	16	11	5	6
"ENSRNOG00000002165:E007"	"ENSRNOG00000002165"	"E007"	16.3982852835826	0.00342641334662442	1.9118698600567	0.166755699444943	0.78831534825243	7.42062985649817	6.39246687747284	-0.433323777634037	"chr14"	10435936	10436020	85	"+"	32	26	19	10	7	7
"ENSRNOG00000002165:E008"	"ENSRNOG00000002165"	"E008"	21.0781181206821	0.00332897444759406	0.502278819917819	0.478500536217566	0.939221177106415	8.19252182501128	7.71065004083981	-0.176520756376053	"chr14"	10437950	10438061	112	"+"	36	33	25	17	8	10
"ENSRNOG00000002165:E009"	"ENSRNOG00000002165"	"E009"	31.1083488470095	0.00879746228893036	2.82368208721965	0.0928831072566082	0.704955233171902	9.31599031911425	10.7059743657826	0.407112551832871	"chr14"	10438401	10439003	603	"+"	46	45	31	31	20	17
"ENSRNOG00000002178:E001"	"ENSRNOG00000002178"	"E001"	60.1933245339539	0.00411618682238264	4.64994630350049	0.0310545188658275	0.499500112330389	14.87911166342	13.1605915887552	-0.364215777703648	"chr14"	10440691	10441114	424	"-"	79	85	53	44	68	40
"ENSRNOG00000002178:E002"	"ENSRNOG00000002178"	"E002"	88.4449052066496	0.00117823931797936	0.0133176711041898	0.908126323799098	0.992709524988712	16.9770510745877	16.886490330921	-0.0160730936380471	"chr14"	10441199	10441258	60	"-"	96	112	77	72	110	72
"ENSRNOG00000002178:E003"	"ENSRNOG00000002178"	"E003"	59.6964817541733	0.00786211267489593	0.367527407269165	0.544355137453861	0.965753381030216	13.7116635141872	14.2522295788147	0.114732721945327	"chr14"	10442159	10442216	58	"-"	63	53	67	58	72	49
"ENSRNOG00000002178:E004"	"ENSRNOG00000002178"	"E004"	101.570690423008	0.000857835911260471	1.45182703347618	0.228235015664741	0.867108702493437	17.6787939270477	18.4363561656162	0.126773737627398	"chr14"	10443330	10443413	84	"-"	94	115	101	93	121	91
"ENSRNOG00000002178:E005"	"ENSRNOG00000002178"	"E005"	63.2022831108865	0.000977207265185939	0.494400506525679	0.481970878471353	0.939681771945748	14.135560963494	14.607948566902	0.0976906479971431	"chr14"	10445632	10445693	62	"-"	59	74	62	58	75	55
"ENSRNOG00000002178:E006"	"ENSRNOG00000002178"	"E006"	37.3839917775765	0.00255947760641428	0.237679784551318	0.625886941829625	0.97578739199226	11.28501989951	10.8920333350668	-0.104099748287281	"chr14"	10446789	10446909	121	"-"	39	49	35	37	33	33
"ENSRNOG00000002181:E001"	"ENSRNOG00000002181"	"E001"	4.1339981238925	0.0127938687500771	0.0562727987979912	0.812486987268688	NA	3.63691332929244	3.8095121252326	0.134053898898308	"chr14"	10446993	10447361	369	"+"	3	6	4	3	5	4
"ENSRNOG00000002181:E002"	"ENSRNOG00000002181"	"E002"	44.3364965339877	0.00187505509826529	3.8919197653849	0.0485189330803962	0.58721830150748	11.4462297059821	12.6922678591043	0.304460730430929	"chr14"	10448567	10449263	697	"+"	44	38	49	47	46	43
"ENSRNOG00000002181:E003"	"ENSRNOG00000002181"	"E003"	4.6665306326491	0.0275912931068256	0.363665151912613	0.54647771660506	NA	4.15840424784678	3.65276923583683	-0.374910005216656	"chr14"	10453473	10453651	179	"+"	7	2	8	5	2	4
"ENSRNOG00000002181:E004"	"ENSRNOG00000002181"	"E004"	9.3373362975972	0.00630620286413761	0.065654620505029	0.797772028203436	NA	5.69614345619678	5.49198217658002	-0.105797564997595	"chr14"	10454329	10454529	201	"+"	12	12	8	8	10	7
"ENSRNOG00000002181:E005"	"ENSRNOG00000002181"	"E005"	7.77972479957397	0.0454668539058742	0.197891720377527	0.656427997367129	NA	5.3276887655979	4.89880275618717	-0.24308395784813	"chr14"	10455037	10455109	73	"+"	9	13	6	7	10	3
"ENSRNOG00000002181:E006"	"ENSRNOG00000002181"	"E006"	6.515587917547	0.0104228283730355	0.477584273363178	0.489518583872059	NA	4.93531175292871	4.39653356946633	-0.334607386385726	"chr14"	10460841	10460938	98	"+"	9	10	5	7	6	3
"ENSRNOG00000002181:E007"	"ENSRNOG00000002181"	"E007"	6.75235033699271	0.00727729018970337	3.14589160031501	0.0761183892506571	NA	5.33029819074481	3.96651104769131	-0.855359140533102	"chr14"	10463716	10463814	99	"+"	11	8	9	5	3	5
"ENSRNOG00000002181:E008"	"ENSRNOG00000002181"	"E008"	8.97320640045361	0.0266991770476199	0.355953438365106	0.550762226688747	NA	5.70311946595514	5.15971231863928	-0.290163026670371	"chr14"	10465028	10465173	146	"+"	6	16	10	9	6	7
"ENSRNOG00000002181:E009"	"ENSRNOG00000002181"	"E009"	6.71846076789988	0.0171973399918802	0.0501531734452385	0.822796954651254	NA	4.83093724403258	4.66377771218708	-0.101942115493372	"chr14"	10467711	10467950	240	"+"	9	9	5	10	5	3
"ENSRNOG00000002181:E010"	"ENSRNOG00000002181"	"E010"	4.88517045457158	0.0122369286439948	0.212229222309276	0.645025745143087	NA	3.9051738327726	4.255247478277	0.248313729200779	"chr14"	10471471	10471612	142	"+"	6	4	5	6	7	2
"ENSRNOG00000002181:E011"	"ENSRNOG00000002181"	"E011"	6.50466393742411	0.0167972107063347	0.674719215132598	0.411411096326253	NA	4.94289739368682	4.25957639208698	-0.43061714307431	"chr14"	10471829	10471933	105	"+"	4	8	12	5	5	5
"ENSRNOG00000002181:E012"	"ENSRNOG00000002181"	"E012"	11.7054499252185	0.00706405770233986	1.32949805521298	0.248894533903401	0.879814537084312	6.60010479285779	5.71393922099068	-0.418301485471114	"chr14"	10477024	10477243	220	"+"	14	13	16	11	4	12
"ENSRNOG00000002181:E013"	"ENSRNOG00000002181"	"E013"	8.41334679072277	0.0525924100417075	0.000329000566850368	0.985528465934548	NA	5.23671253150562	5.30020099175175	0.0349120555597375	"chr14"	10479975	10480132	158	"+"	10	7	10	5	5	13
"ENSRNOG00000002181:E014"	"ENSRNOG00000002181"	"E014"	3.14247446373737	0.0140576686748002	0.0899469541777052	0.764244603223907	NA	3.34552192802364	3.11242799762422	-0.208698518413473	"chr14"	10481489	10481587	99	"+"	4	3	4	4	2	2
"ENSRNOG00000002181:E015"	"ENSRNOG00000002181"	"E015"	3.84464784540806	0.017680848286424	0.976139953175164	0.323153651198632	NA	3.18856784484257	3.96896481094691	0.632884000877964	"chr14"	10484111	10484284	174	"+"	5	3	2	7	2	4
"ENSRNOG00000002181:E016"	"ENSRNOG00000002181"	"E016"	5.50608270301742	0.00980169191283191	0.980411669257464	0.322097192788495	NA	3.90524241361383	4.66577375900832	0.514780216991332	"chr14"	10486514	10486627	114	"+"	5	6	4	9	4	5
"ENSRNOG00000002181:E017"	"ENSRNOG00000002181"	"E017"	3.80044199387618	0.0301951713540147	0.929477920555172	0.334998623846648	NA	3.19353187113028	3.95969635067516	0.621627387326763	"chr14"	10488170	10488304	135	"+"	2	2	6	5	6	2
"ENSRNOG00000002181:E018"	"ENSRNOG00000002181"	"E018"	5.16681674727969	0.0136327078264695	0.00120754076063179	0.972279340172207	NA	4.1592555955163	4.11510614209097	-0.0308682795999755	"chr14"	10490576	10491190	615	"+"	5	3	9	4	5	5
"ENSRNOG00000002188:E001"	"ENSRNOG00000002188"	"E001"	0.662440061437269	0.069830759820616	0.0852766752245202	0.770270029992041	NA	1.61947783306451	1.37212734027575	-0.478384477882647	"chr14"	10534423	10534628	206	"+"	1	0	1	0	1	1
"ENSRNOG00000002188:E002"	"ENSRNOG00000002188"	"E002"	1.14625607309437	0.0418173653233581	2.38124578726185	0.12279958372669	NA	2.55996387660225	1.37213256922881	-1.80039043263037	"chr14"	10543204	10543349	146	"+"	2	1	2	0	1	1
"ENSRNOG00000002188:E003"	"ENSRNOG00000002188"	"E003"	2.05265095084735	0.0244166503607695	0.00101059942049631	0.974639580146175	NA	2.55990091997943	2.5696546200836	0.010983515360859	"chr14"	10546204	10546329	126	"+"	2	1	2	2	1	4
"ENSRNOG00000002188:E004"	"ENSRNOG00000002188"	"E004"	2.26656371479852	0.024829544458719	2.14698118634024	0.14285052400693	NA	1.98368953654868	3.07185990925204	1.2630104081854	"chr14"	10556333	10556506	174	"+"	1	0	2	2	2	6
"ENSRNOG00000002188:E005"	"ENSRNOG00000002188"	"E005"	0.187338728542649	0.261032192564884	0.18035322820689	0.671069857404893	NA	0.0427534452860101	0.974335613346469	9.02081191150927	"chr14"	10558899	10558966	68	"+"	0	0	0	0	0	1
"ENSRNOG00000002188:E006"	"ENSRNOG00000002188"	"E006"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	10558972	10558995	24	"+"	0	0	0	0	0	0
"ENSRNOG00000002188:E007"	"ENSRNOG00000002188"	"E007"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	10559001	10559044	44	"+"	0	0	0	0	0	0
"ENSRNOG00000002188:E008"	"ENSRNOG00000002188"	"E008"	0.152050014371638	0.303405693176372	0.641590524292184	0.423135431512224	NA	1.14228286368278	0.0352979043981207	-10.0326616669193	"chr14"	10559061	10559090	30	"+"	1	0	0	0	0	0
"ENSRNOG00000002188:E009"	"ENSRNOG00000002188"	"E009"	0.491878997450375	0.0978432599919098	0.0875448629891338	0.767321869056233	NA	1.14420585077424	1.37212359916117	0.524248380756863	"chr14"	10560006	10560053	48	"+"	1	0	0	0	1	1
"ENSRNOG00000002188:E010"	"ENSRNOG00000002188"	"E010"	0.866556454535673	0.066457400400899	0.980373925999736	0.322106507293951	NA	1.14452331572915	1.94429270979197	1.52951724046872	"chr14"	10561352	10561445	94	"+"	1	0	0	0	1	3
"ENSRNOG00000002188:E011"	"ENSRNOG00000002188"	"E011"	0.869918121670794	0.0575255167589298	1.05403259756905	0.304580168059049	NA	1.14585215948314	1.94239190599124	1.52334468722352	"chr14"	10561840	10561946	107	"+"	0	0	1	1	1	2
"ENSRNOG00000002188:E012"	"ENSRNOG00000002188"	"E012"	2.03706132820276	0.036832108786673	0.279383101632682	0.597105839057515	NA	2.80311407717974	2.38109402641945	-0.471272286451878	"chr14"	10564735	10564849	115	"+"	3	1	2	3	0	3
"ENSRNOG00000002188:E013"	"ENSRNOG00000002188"	"E013"	2.98825082414178	0.0709527911144983	1.03478324688991	0.309037862230182	NA	3.61318164723131	2.75119044834722	-0.787582271399494	"chr14"	10568738	10568856	119	"+"	5	3	2	4	1	3
"ENSRNOG00000002188:E014"	"ENSRNOG00000002188"	"E014"	2.19371655245504	0.0238887351781162	0.78745104297186	0.374871988648756	NA	3.02773845117287	2.37895312031071	-0.69656588036824	"chr14"	10570894	10571040	147	"+"	3	2	2	1	1	4
"ENSRNOG00000002188:E015"	"ENSRNOG00000002188"	"E015"	1.41223521577232	0.0603184277427874	2.97918461526864	0.0843417523511791	NA	1.14588234342132	2.5731452448684	2.33526541466058	"chr14"	10575065	10575224	160	"+"	0	0	1	0	2	5
"ENSRNOG00000002194:E001"	"ENSRNOG00000002194"	"E001"	5.90933453420986	0.0463859143952481	0.0110621917377074	0.916235397002951	NA	4.36602652642759	4.46193649423974	0.0628763362590776	"chr14"	10581136	10581392	257	"+"	3	8	7	5	4	8
"ENSRNOG00000002194:E002"	"ENSRNOG00000002194"	"E002"	30.3460397721561	0.00240030520614006	0.361059694791678	0.547918296401649	0.966637269899639	9.8000848564772	10.228594760959	0.125285373124346	"chr14"	10587200	10587366	167	"+"	32	27	33	24	34	33
"ENSRNOG00000002194:E003"	"ENSRNOG00000002194"	"E003"	32.2722109625724	0.00407628615324924	2.13566721266317	0.143907835308025	0.763900905316301	10.8890490107909	9.76950955206678	-0.31789425943538	"chr14"	10591591	10591712	122	"+"	48	25	41	25	35	23
"ENSRNOG00000002194:E004"	"ENSRNOG00000002194"	"E004"	30.5117891908736	0.00200209641882555	0.127456261710421	0.721084191985117	0.988823204199875	10.2092577268094	9.94426660604161	-0.0770033056553823	"chr14"	10593308	10593393	86	"+"	41	27	32	28	35	23
"ENSRNOG00000002194:E005"	"ENSRNOG00000002194"	"E005"	31.3125879174571	0.00210536159898714	0.151024713980632	0.697558022063383	0.988823204199875	10.0586973775982	10.3354990984064	0.0795141257683012	"chr14"	10594833	10594966	134	"+"	32	34	31	30	37	26
"ENSRNOG00000002194:E006"	"ENSRNOG00000002194"	"E006"	24.0023063712421	0.00290003663914499	1.79525705282889	0.180286953315972	0.809095090181018	8.43867731939629	9.42000149848657	0.321102098230245	"chr14"	10596948	10597136	189	"+"	26	24	18	27	26	24
"ENSRNOG00000002194:E007"	"ENSRNOG00000002194"	"E007"	82.217582436101	0.000834608664195409	0.0528249652561357	0.818218569869279	0.991491044839543	16.3925616593823	16.2449105972764	-0.0271138553748473	"chr14"	10599746	10600566	821	"+"	98	80	86	75	90	70
"ENSRNOG00000002200:E001"	"ENSRNOG00000002200"	"E001"	0.152490254536089	NA	NA	NA	NA	NA	NA	NA	"chr14"	10624265	10625128	864	"+"	0	0	0	0	1	0
"ENSRNOG00000056621:E001"	"ENSRNOG00000056621"	"E001"	0.348543661841221	NA	NA	NA	NA	NA	NA	NA	"chr14"	10685203	10686403	1201	"-"	0	1	0	0	0	1
"ENSRNOG00000056621:E002"	"ENSRNOG00000056621"	"E002"	0	NA	NA	NA	NA	NA	NA	NA	"chr14"	10694042	10694164	123	"-"	0	0	0	0	0	0
"ENSRNOG00000002217:E001"	"ENSRNOG00000002217"	"E001"	5.94076651530441	0.013188854509613	2.87971135087764	0.0897021001482641	NA	5.12857336737311	3.87055142130669	-0.814419088884355	"chr14"	10692764	10692882	119	"+"	13	8	2	3	7	4
"ENSRNOG00000002217:E002"	"ENSRNOG00000002217"	"E002"	9.1296657155886	0.0067105871546763	0.713545776426038	0.398269207212166	NA	5.85641577905849	5.27244044942991	-0.304461279787845	"chr14"	10703341	10703478	138	"+"	17	9	4	5	11	10
"ENSRNOG00000002217:E003"	"ENSRNOG00000002217"	"E003"	5.459978869887	0.013965610255004	0.00168632114059619	0.967244204015025	NA	4.28257603994672	4.26836152226271	-0.00961855312330462	"chr14"	10706303	10706427	125	"+"	9	3	4	1	7	9
"ENSRNOG00000002217:E004"	"ENSRNOG00000002217"	"E004"	7.92925764678286	0.0080281404596969	0.438761059255363	0.507721046210161	NA	4.9058252436697	5.37230610495243	0.263100036069281	"chr14"	10709835	10709950	116	"+"	10	5	6	4	12	11
"ENSRNOG00000002217:E005"	"ENSRNOG00000002217"	"E005"	6.11228707365318	0.0088672502647321	4.17362392686108	0.0410578913748403	NA	3.71142313225397	5.16883352826024	0.958455835051039	"chr14"	10714290	10714524	235	"+"	6	3	3	4	12	9
"ENSRNOG00000023650:E001"	"ENSRNOG00000023650"	"E001"	114.755217192487	0.000877123208818238	0.733875736467809	0.391629788918598	0.927731792663256	18.8079142634308	19.4344610175392	0.0995462730900636	"chr14"	10718844	10719314	471	"-"	120	136	114	110	117	98
"ENSRNOG00000023650:E002"	"ENSRNOG00000023650"	"E002"	196.537340543557	0.000613961448819385	0.179064302877336	0.672178599969608	0.983440849722955	24.7161581979701	24.4461111714716	-0.0344462272049757	"chr14"	10722898	10722982	85	"-"	213	241	209	193	198	140
"ENSRNOG00000023650:E003"	"ENSRNOG00000023650"	"E003"	166.682748749518	0.000630218188538244	0.523066224623037	0.469536640595408	0.938211773384176	22.5531915115869	23.0793829803302	0.0715264626895795	"chr14"	10725129	10725244	116	"-"	186	173	185	169	182	118
"ENSRNOG00000023650:E004"	"ENSRNOG00000023650"	"E004"	121.274034423221	0.0023987819096829	0.958664670314121	0.327523542589252	0.900634825362798	19.2580793029298	20.0853777363528	0.128140399981506	"chr14"	10728275	10728445	171	"-"	148	112	129	125	137	87
"ENSRNOG00000023650:E005"	"ENSRNOG00000023650"	"E005"	143.123366749118	0.00828090723181058	0.061283037909547	0.804479419693425	0.991491044839543	21.1042615961613	21.3240066592763	0.0318260791131539	"chr14"	10732341	10732491	151	"-"	160	134	177	129	150	117
"ENSRNOG00000023650:E006"	"ENSRNOG00000023650"	"E006"	226.798635721275	0.00253832663515709	0.38964077524416	0.532488285948531	0.963035717860157	26.0198198076619	26.5764580662204	0.067119010315202	"chr14"	10732627	10732780	154	"-"	275	222	245	223	256	160
"ENSRNOG00000023650:E007"	"ENSRNOG00000023650"	"E007"	203.671384739226	0.00176566964409337	0.0248568019456172	0.874724405820904	0.992709524988712	25.0773304794084	24.9596514852962	-0.0147896723327534	"chr14"	10735711	10735814	104	"-"	248	250	187	203	210	143
"ENSRNOG00000023650:E008"	"ENSRNOG00000023650"	"E008"	247.130932149969	0.00127288818244294	2.59502578122039	0.107199695115204	0.730428850649555	27.856256983857	26.6770417841172	-0.138059910675456	"chr14"	10737075	10737226	152	"-"	308	314	241	230	241	172
"ENSRNOG00000023650:E009"	"ENSRNOG00000023650"	"E009"	157.104254554997	0.00117588435938522	0.268768894595908	0.604158806162236	0.973479008281169	22.3552650115226	21.9717173274193	-0.0534633546516394	"chr14"	10737695	10737774	80	"-"	181	201	152	140	163	119
"ENSRNOG00000023650:E010"	"ENSRNOG00000023650"	"E010"	77.4375164152747	0.000872823613709122	0.157597551695147	0.691378093354581	0.987115612590398	15.9705859288393	15.6924823070195	-0.0525278996759448	"chr14"	10748966	10749120	155	"-"	83	98	82	71	82	55
"ENSRNOG00000043926:E001"	"ENSRNOG00000043926"	"E001"	0.161204933298572	NA	NA	NA	NA	NA	NA	NA	"chr14"	10770495	10770570	76	"+"	0	1	0	0	0	0
"ENSRNOG00000002203:E001"	"ENSRNOG00000002203"	"E001"	65.3828580419791	0.00875920054236002	0.594851015577902	0.440549368158812	0.938211773384176	15.0121875709975	14.1823871741248	-0.169136858792561	"chr14"	10786399	10787114	716	"+"	82	61	45	74	70	64
"ENSRNOG00000002203:E002"	"ENSRNOG00000002203"	"E002"	17.4787394993509	0.00299293493160288	0.0118192225543652	0.913427554293508	0.992709524988712	7.60896788975104	7.62518662191044	0.00619567978269675	"chr14"	10792005	10792128	124	"+"	21	13	13	23	21	15
"ENSRNOG00000002203:E003"	"ENSRNOG00000002203"	"E003"	21.0355838406431	0.0120984041092306	0.763132677704178	0.382349933775258	0.922212543450403	8.79615011667276	7.99439874977608	-0.278593916475794	"chr14"	10794718	10794860	143	"+"	27	14	22	30	23	12
"ENSRNOG00000002203:E004"	"ENSRNOG00000002203"	"E004"	20.7196585717338	0.00240803282517805	0.000190090216548811	0.988999658060127	0.997913206291033	8.30019519419041	8.2412488485712	-0.0207694669580825	"chr14"	10811035	10811251	217	"+"	22	15	19	27	23	19
"ENSRNOG00000002203:E005"	"ENSRNOG00000002203"	"E005"	10.3335761450405	0.0743944747224672	0.00848933271510077	0.926588734928002	0.992709524988712	5.85943246734261	5.83504101020709	-0.0120962765000754	"chr14"	10815250	10815323	74	"+"	16	7	5	9	9	16
"ENSRNOG00000002203:E006"	"ENSRNOG00000002203"	"E006"	13.7358951838397	0.0606484177613457	0.0377905734426065	0.845864273865411	0.992709524988712	6.920435904584	6.60625204237799	-0.134955408067579	"chr14"	10815663	10815860	198	"+"	19	10	10	8	17	19
"ENSRNOG00000002203:E007"	"ENSRNOG00000002203"	"E007"	8.71505830867743	0.00912613489684777	0.207899731887792	0.648418576522293	NA	5.21954314490389	5.5337362666381	0.169371460777023	"chr14"	10816618	10816709	92	"+"	7	6	9	9	15	7
"ENSRNOG00000002203:E008"	"ENSRNOG00000002203"	"E008"	12.2838565005114	0.0354489804942284	0.325628070355734	0.568244850218418	0.970595511081877	6.0944245389876	6.58848981098636	0.226233406910024	"chr14"	10817341	10817412	72	"+"	6	16	8	17	16	11
"ENSRNOG00000002203:E009"	"ENSRNOG00000002203"	"E009"	15.2322648390362	0.00413545524359334	0.967250626941123	0.325366823059104	0.899972709194322	6.66757790970854	7.36762493712276	0.290139405032783	"chr14"	10818955	10819057	103	"+"	11	13	12	24	15	16
"ENSRNOG00000002203:E010"	"ENSRNOG00000002203"	"E010"	15.7611659357171	0.00437352540476625	1.06676623188447	0.301677021460751	0.891922237914901	6.75978389043466	7.49946168812474	0.301837238196496	"chr14"	10819207	10819344	138	"+"	10	13	14	24	16	17
"ENSRNOG00000002203:E011"	"ENSRNOG00000002203"	"E011"	14.2997259249958	0.00349012035444906	1.40371790808537	0.236102062244808	0.870885952933366	6.38530674606737	7.23042532804089	0.361068645480678	"chr14"	10822525	10822727	203	"+"	11	10	12	22	18	13
"ENSRNOG00000002203:E012"	"ENSRNOG00000002203"	"E012"	78.1007201624092	0.00889645912219598	0.115814643446129	0.733618941404579	0.989869615376402	16.0581583183067	15.6834903619849	-0.070605284915227	"chr14"	10825876	10828106	2231	"+"	68	68	79	102	94	61
"ENSRNOG00000002251:E001"	"ENSRNOG00000002251"	"E001"	1.55404861912673	0.813018806463953	0.00116631443921733	0.972756464088276	NA	1.93905695580676	2.61092024567827	0.859049954812848	"chr14"	10854682	10854736	55	"+"	3	1	0	0	0	5
"ENSRNOG00000002251:E002"	"ENSRNOG00000002251"	"E002"	2.85005704735523	0.0680446228709213	1.338839547557	0.247238720036426	NA	2.58668232954388	3.59469899490192	0.950847699563921	"chr14"	10854737	10854751	15	"+"	4	3	0	3	2	5
"ENSRNOG00000002251:E003"	"ENSRNOG00000002251"	"E003"	5.52535769410759	0.26316039924421	0.0850965572816733	0.770505960110479	NA	4.14024131376793	4.44272440674196	0.204005915497981	"chr14"	10854752	10854796	45	"+"	5	12	1	3	3	9
"ENSRNOG00000002251:E004"	"ENSRNOG00000002251"	"E004"	23.4210474981985	0.0527099465967827	0.20046560006233	0.65434528927089	0.983440849722955	8.93915157055588	8.52322895879489	-0.139001457043526	"chr14"	10854797	10854996	200	"+"	26	31	27	16	11	29
"ENSRNOG00000002251:E005"	"ENSRNOG00000002251"	"E005"	33.2280576851989	0.00557132507443416	0.032350667251265	0.857260191936134	0.992709524988712	10.4777086220379	10.3233394910064	-0.0435009608311434	"chr14"	10864457	10864536	80	"+"	34	42	40	31	23	30
"ENSRNOG00000002251:E006"	"ENSRNOG00000002251"	"E006"	31.110463173071	0.0167899986562002	0.0424852276605634	0.836697606084895	0.992709524988712	10.0343118416358	10.2331615703107	0.0574665330145789	"chr14"	10865212	10865335	124	"+"	26	42	38	28	35	20
"ENSRNOG00000002251:E007"	"ENSRNOG00000002251"	"E007"	53.8710674915097	0.00851042445372522	0.0296840024924876	0.863209184286147	0.992709524988712	13.1446489952587	13.3064614596707	0.0361993087352461	"chr14"	10866801	10866999	199	"+"	52	66	66	56	43	42
"ENSRNOG00000002251:E008"	"ENSRNOG00000002251"	"E008"	57.5165040433986	0.00133067885349222	0.55192068445551	0.457533963825755	0.938211773384176	13.9062895965199	13.3395017457647	-0.123299432936422	"chr14"	10868198	10868293	96	"+"	75	59	73	56	46	40
"ENSRNOG00000002251:E009"	"ENSRNOG00000002251"	"E009"	58.4358886322131	0.00109830106397501	0.0814169822636472	0.775386265706313	0.989869615376402	13.8726876992091	13.6548633591465	-0.0469204442973759	"chr14"	10869900	10870040	141	"+"	73	68	65	56	51	42
"ENSRNOG00000002251:E010"	"ENSRNOG00000002251"	"E010"	28.1195714731295	0.00676614136100881	1.13239766806699	0.287264489262058	0.888342394527952	9.19529155387006	10.0756325501633	0.267368657031238	"chr14"	10870995	10871137	143	"+"	30	22	37	32	23	25
"ENSRNOG00000002251:E011"	"ENSRNOG00000002251"	"E011"	32.1313737650876	0.00428312646696922	3.65407122546542	0.055932331956734	0.61373872068193	9.54355943114673	11.074085433335	0.435799795392493	"chr14"	10874589	10874688	100	"+"	32	26	38	26	34	37
"ENSRNOG00000002251:E012"	"ENSRNOG00000002251"	"E012"	48.5040879311294	0.00136097136584213	0.0735721932167763	0.786204953594841	0.991412134999651	12.487055977978	12.6796789294018	0.0451856550553389	"chr14"	10877146	10877307	162	"+"	59	49	58	35	49	44
"ENSRNOG00000002251:E013"	"ENSRNOG00000002251"	"E013"	44.0637008335036	0.0333732251021363	0.000465178293012514	0.982792566012668	0.997913206291033	11.9329904064406	12.1074494518749	0.0427580545523352	"chr14"	10877500	10877652	153	"+"	49	50	52	21	55	41
"ENSRNOG00000002251:E014"	"ENSRNOG00000002251"	"E014"	44.971723026454	0.00369609892232801	0.270483977356591	0.603007300875077	0.973479008281169	11.9279211245146	12.3339301679914	0.0986450710030669	"chr14"	10877904	10878137	234	"+"	46	44	61	34	48	39
"ENSRNOG00000002251:E015"	"ENSRNOG00000002251"	"E015"	28.8103682896248	0.0573494835222817	0.083032519901451	0.773229134691623	0.989869615376402	9.9783593228655	9.43977725797309	-0.162295531112412	"chr14"	10879802	10879876	75	"+"	26	26	52	28	31	12
"ENSRNOG00000002251:E016"	"ENSRNOG00000002251"	"E016"	33.2135351836421	0.0151323858421071	0.0836688239976411	0.772385757793804	0.989869615376402	10.5863933098876	10.2425539129108	-0.0967744956661907	"chr14"	10881561	10881599	39	"+"	30	36	52	30	32	21
"ENSRNOG00000002251:E017"	"ENSRNOG00000002251"	"E017"	27.4261633392489	0.00178499879362245	0.217330215125074	0.641081733492118	0.983108889567334	9.34253640644405	9.68820280874117	0.106210966468377	"chr14"	10882043	10882120	78	"+"	32	28	32	22	27	25
"ENSRNOG00000002251:E018"	"ENSRNOG00000002251"	"E018"	29.1479458678842	0.00175456121986541	0.00310040073999573	0.9555957428217	0.996111211065108	9.78166802824039	9.81657519913799	0.0104222029075336	"chr14"	10884509	10884587	79	"+"	39	31	31	24	27	25
